Dates,Last 10 Year Average (Flow in cumecs),Last Year (Flow in cumecs),Current Year (Flow in cumecs),Level (m)
"01-Jan-1990",258.61422999999996,205.2935,223.7442,25.81
"02-Jan-1990",238.47108,201.8,317.834,26.1
"03-Jan-1990",249.61508,253.8,398.7801,26.31
"04-Jan-1990",254.86092999999997,266.946,339.833,26.16
"05-Jan-1990",263.88211,255.3,378.4958,26.26
"06-Jan-1990",242.77689999999998,290,300.1782,26.05
"07-Jan-1990",236.02725,158.4,257.0934,25.92
"08-Jan-1990",229.88034,140.4224,180.1418,25.65
"09-Jan-1990",239.78332,178.2,117.1039,25.37
"10-Jan-1990",269.20935000000003,177.6,539.1822,26.62
"11-Jan-1990",259.00054,257.6,432.5767,26.39
"12-Jan-1990",244.43545999999998,167.9,307.1675,26.07
"13-Jan-1990",261.01599,286.5,325.0681,26.12
"14-Jan-1990",250.95890999999997,309.1,378.4958,26.26
"15-Jan-1990",214.56183,186.1684,328.7221,26.13
"16-Jan-1990",181.46936000000002,177.4,185.2811,25.67
"17-Jan-1990",210.40774,304.1,273.1876,25.97
"18-Jan-1990",218.26711000000003,220.4,347.3647,26.18
"19-Jan-1990",239.70858000000004,192.4,398.7801,26.31
"20-Jan-1990",211.194545,193.9,370.5617,26.24
"21-Jan-1990",221.346853,166.2,279.7914,25.99
"22-Jan-1990",242.80216099999998,170.3629,455.5,26.41
"23-Jan-1990",287.5631199999999,213,364.4,26.25
"24-Jan-1990",290.36580000000004,270.038,560.2,26.61
"25-Jan-1990",292.75735,296.875,592.9,26.58
"26-Jan-1990",276.63545999999997,311.4817,477.1848,26.49
"27-Jan-1990",236.11554,306.582,345.8,26.17
"28-Jan-1990",228.84538999999998,331.4,203.9646,25.74
"29-Jan-1990",282.0331,295.269,370.6,26.31
"30-Jan-1990",301.82196,426.1,499.4,26.44
"31-Jan-1990",254.84906999999998,192.7,352.8,26.18
"01-Feb-1990",260.72419,249.2,414.9,26.35
"02-Feb-1990",241.288355,153.1,448.5,26.55
"03-Feb-1990",260.02016000000003,267.5,409.3,26.37
"04-Feb-1990",276.37252,275.8,303.6607,26.06
"05-Feb-1990",250.23216,219.3972,249.8,25.9
"06-Feb-1990",257.3003,347.6,292.9,25.95
"07-Feb-1990",243.24164,242.7,379.9,26.38
"08-Feb-1990",226.33979,271.1,369.1,26.12
"09-Feb-1990",216.21105000000003,203.6,275.1,26
"10-Feb-1990",274.30162,260.3,354.9,26.16
"11-Feb-1990",259.73204200000004,348.5,360.7861,26.22
"12-Feb-1990",287.89615,383.2077,394.3,26.29
"13-Feb-1990",255.84760999999997,242.6,369.9,26.3
"14-Feb-1990",248.50540999999998,155.5,389.7,26.26
"15-Feb-1990",237.45436000000004,225.2,372.5,26.31
"16-Feb-1990",244.112842,296.2,401.7,26.33
"17-Feb-1990",259.21225,279.9,412.7,26.35
"18-Feb-1990",271.91737,361,407.0737,26.33
"19-Feb-1990",277.17401,348.3295,347.6,26.27
"20-Feb-1990",292.8341,255.7,347.9,26.29
"21-Feb-1990",288.55694,262.6,380.2,26.32
"22-Feb-1990",294.01457,233.8,489.9,26.6
"23-Feb-1990",293.58962900000006,266.9464,638.5,26.9
"24-Feb-1990",275.10113,242.7168,378.9,26.4
"25-Feb-1990",256.849191,239.7517,374.5164,26.25
"26-Feb-1990",268.8931,355.2011,333.2,26.15
"27-Feb-1990",270.92978,354.3,236.1,25.89
"28-Feb-1990",274.26962,325,219.1,25.77
"01-Mar-1990",272.43413,461.1,290.1,26
"02-Mar-1990",259.76352999999995,373,268.7,25.89
"03-Mar-1990",284.56858000000005,378.5,283.5,25.98
"04-Mar-1990",297.09253,324.9,289.876,26.02
"05-Mar-1990",269.19124,318.0615,288.7,26.03
"06-Mar-1990",273.18411000000003,329.5,349.4,26.19
"07-Mar-1990",273.69804,391.5,336.6,26.13
"08-Mar-1990",283.52187000000004,395.5,338.9,26.2
"09-Mar-1990",286.006621,437.3,358.7,26.29
"10-Mar-1990",319.67319,516.6,308.9,26.17
"11-Mar-1990",325.09644499999996,378.6,332.4009,26.14
"12-Mar-1990",319.45372999999995,324.6948,355.1,26.19
"13-Mar-1990",324.75985,360.1,345.2,26.17
"14-Mar-1990",357.91632000000004,404,400.3,26.29
"15-Mar-1990",332.50556000000006,344.6,375.9,26.27
"16-Mar-1990",318.56013,408.7,361.8,26.15
"17-Mar-1990",329.75993,421.4,295.5,26.13
"18-Mar-1990",339.48955,488.3,353.0788,26.2
"19-Mar-1990",334.07395999999994,491.5396,393.1,26.34
"20-Mar-1990",336.73213,615.2,385.2,26.32
"21-Mar-1990",315.67891,620.5,341.9,26.17
"22-Mar-1990",305.03417099999996,594.9,383.7,26.19
"23-Mar-1990",279.257235,448.8,395.1,26.23
"24-Mar-1990",288.62191,515.2507,355.8,26.23
"25-Mar-1990",304.13115999999997,486.3,351.1674,26.19
"26-Mar-1990",284.75879000000003,353.4779,347.5,26.19
"27-Mar-1990",317.2178800000001,616.4,351.1674,26.19
"28-Mar-1990",282.57069,388.6,330.6,26.16
"29-Mar-1990",241.35777000000002,326.9,257.3,25.98
"30-Mar-1990",243.13009,401.1,131.9,25.5
"31-Mar-1990",255.448345,450.7,256.5,25.91
"01-Apr-1990",262.87889,361.1,296.7199,26.04
"02-Apr-1990",281.26534,328.0315,294.3,26.05
"03-Apr-1990",273.23432,387.4,202.3,25.79
"04-Apr-1990",273.77517,413.8,283.1292,26
"05-Apr-1990",293.070241,536.6,279.5,26.08
"06-Apr-1990",311.76663999999994,559.8434,292.6,26
"07-Apr-1990",286.34642399999996,593.1761,283.1292,26
"08-Apr-1990",275.55777,559.8434,286.4903,26.01
"09-Apr-1990",264.593948,468.2678,165.6,25.66
"10-Apr-1990",281.47451,490.7,147.3,25.54
"11-Apr-1990",263.50151,405.4,265.7,25.94
"12-Apr-1990",248.38013,454.8,275.8,25.95
"13-Apr-1990",253.49007,370.9,209.5027,25.76
"14-Apr-1990",253.45072,366.7,336.1046,26.15
"15-Apr-1990",240.59936000000002,290.4,257.0934,25.92
"16-Apr-1990",245.73363,344.9134,262,25.99
"17-Apr-1990",268.5303,438.7,261.8,25.96
"18-Apr-1990",275.16071800000003,487.6303,289.6,26.04
"19-Apr-1990",230.637651,440.9,265.6,25.99
"20-Apr-1990",241.22603600000002,424.7,388.5,26.2
"21-Apr-1990",217.78205000000003,388.1,329.9,26.13
"22-Apr-1990",196.325015,428.3,321.4387,26.11
"23-Apr-1990",218.37732,487.6303,388.4,26.2
"24-Apr-1990",224.001229,375.8,417.7,26.26
"25-Apr-1990",216.28783999999996,312.8,302.4,26.08
"26-Apr-1990",193.66014399999997,291.5,255.4,25.92
"27-Apr-1990",213.0179,276,268.2975,25.96
"28-Apr-1990",191.41312000000002,278,266.6789,25.95
"29-Apr-1990",183.22527,290,269.9214,25.96
"30-Apr-1990",199.73928299999997,285.7042,270,25.92
"01-May-1990",200.19079000000002,280.5,201.5,25.74
"02-May-1990",180.96396,354.1,166,25.6
"03-May-1990",141.70415500000001,328.3,154.7,25.46
"04-May-1990",209.88948999999997,320.7,319.2,26.1
"05-May-1990",218.61253,270.038,283.9,26
"06-May-1990",184.65308000000002,136.84,247.7199,25.89
"07-May-1990",177.939019,54.62329,210.1,25.76
"08-May-1990",198.55434999999997,45.12,182,25.68
"09-May-1990",185.29893,39.35,155.7413,25.55
"10-May-1990",192.620645,42.63,160.4502,25.57
"11-May-1990",317.41229999999996,72.9,1336.293,27.81
"12-May-1990",368.37054,64.07,1954.389,28.45
"13-May-1990",303.30749929999996,104.9,1514.293,28.01
"14-May-1990",295.51327499999996,210.8907,1327.774,27.8
"15-May-1990",225.70657099999997,73.116,717.6582,26.95
"16-May-1990",205.49701,77.824,644.7,26.85
"17-May-1990",199.14646399999998,196.2,518.2,26.72
"18-May-1990",200.23033399999997,60.95,431.7,26.4
"19-May-1990",188.514908,52.11,380.2,26.26
"20-May-1990",176.176106,43.49358,390.5895,26.29
"21-May-1990",164.207534,36.16245,281,26.01
"22-May-1990",162.314961,36.162,235.8,25.87
"23-May-1990",183.99132400000002,99.49,144.9,25.54
"24-May-1990",190.687271,93.18,124.2,25.39
"25-May-1990",170.261479,151.5,112.3,25.34
"26-May-1990",160.508003,181.7,82.7,25.17
"27-May-1990",180.80283699999998,174.6,83.31128,25.18
"28-May-1990",165.49638,219.3972,100.9,25.27
"29-May-1990",158.498439,153.9,119.7,25.37
"30-May-1990",169.82675999999998,187.5,111.3029,25.34
"31-May-1990",170.02593600000003,278,64.07661,25.05
"01-Jun-1990",183.91155999999998,290.4,115.1,25.35
"02-Jun-1990",203.84416,341.9,93,25.18
"03-Jun-1990",174.06852600000002,186.2,50.32586,24.89
"04-Jun-1990",166.8746,196.1893,46.14,24.89
"05-Jun-1990",169.95107,307.4,67.58,25.01
"06-Jun-1990",158.103,157.5,53.79,24.91
"07-Jun-1990",165.6031709,230.4,131.8,25.38
"08-Jun-1990",194.6650709,191.5,244.5,25.95
"09-Jun-1990",189.79692999999997,259.2,198.5,25.61
"10-Jun-1990",188.85712999999998,308.7,121.2725,25.32
"11-Jun-1990",170.473306,256.0899,62.44316,24.98
"12-Jun-1990",166.64260000000002,147.9,167.6,25.55
"13-Jun-1990",171.26118,165.1716,194.915,25.64
"14-Jun-1990",178.64652,98.06,276.448,25.92
"15-Jun-1990",158.84856000000002,131.7,211.095,25.7
"16-Jun-1990",224.04171999999997,150.1,781.674,27.07
"17-Jun-1990",231.71717,151.9,684.4683,26.89
"18-Jun-1990",244.87859,173.742,495.7,26.44
"19-Jun-1990",267.05001,109.083,579.4,26.62
"20-Jun-1990",311.6368,61.22,810.3,27.05
"21-Jun-1990",284.51777,161.7,471.1,26.44
"22-Jun-1990",319.53250999999995,162.5,551.3,26.53
"23-Jun-1990",316.80165999999997,160.9,376.3,26.36
"24-Jun-1990",293.82097000000005,176.6,475.9221,26.45
"25-Jun-1990",273.02650000000006,180.3223,170,25.66
"26-Jun-1990",292.73576,354.5,121.8,25.41
"27-Jun-1990",325.74116999999995,370.7,228.1,25.71
"28-Jun-1990",335.55097,323.3,140.5,25.47
"29-Jun-1990",399.2698000000001,284,544.7,26.51
"30-Jun-1990",421.8611500000001,373.5,655.2,26.8
"01-Jul-1990",402.12534999999997,325.6,528.7515,26.57
"02-Jul-1990",446.6160100000001,388.4601,644.4,26.77
"03-Jul-1990",451.27758,373.3,580.8,26.64
"04-Jul-1990",412.6730099999999,366.3,475.9221,26.45
"05-Jul-1990",443.51649,335.2,484.8,26.41
"06-Jul-1990",454.76149,398.3,736.8,26.92
"07-Jul-1990",470.04954999999995,378.1,696.2,27.09
"08-Jul-1990",485.1868999999999,445.775,743.0425,27
"09-Jul-1990",511.14407,295.0117,804.3,27.11
"10-Jul-1990",532.96189,330.2,805.6,26.99
"11-Jul-1990",533.10415,451.5,783.5,26.93
"12-Jul-1990",453.8694,422.4,364.256,26.17
"13-Jul-1990",480.75021,280.8,335.8,26.27
"14-Jul-1990",474.97425,426.1998,169.492,25.54
"15-Jul-1990",538.892,470.2,541.2,26.54
"16-Jul-1990",522.5946200000001,422.6912,487.9,26.48
"17-Jul-1990",582.10986,750,440.1,26.33
"18-Jul-1990",552.2015799999999,897.4,281.3,25.93
"19-Jul-1990",524.08766,300.6,512.8,26.5
"20-Jul-1990",503.42514,414.1,426.6,26.32
"21-Jul-1990",530.98515,711,543,26.5
"22-Jul-1990",591.8946,398.8,504,26.43
"23-Jul-1990",754.45307,2436.426,757.6,26.89
"24-Jul-1990",1447.4976100000001,9007,563.4,26.64
"25-Jul-1990",832.14416,3350,612,26.7
"26-Jul-1990",649.46935,1514.027,726.6,26.96
"27-Jul-1990",628.5105599999999,925,735.8,27.09
"28-Jul-1990",587.38343,600,789.3,27.16
"29-Jul-1990",631.36787,480.703,960.2,27.45
"30-Jul-1990",669.1305400000001,440.3904,924.8,27.42
"31-Jul-1990",689.1499,631.9,774.8,27.18
"01-Aug-1990",636.27166,699.7,702.7,27.08
"02-Aug-1990",672.5545700000001,716.8,914.4,27.39
"03-Aug-1990",691.81856,769.7,857.9,27.28
"04-Aug-1990",735.3947099999999,771,821.4,27.26
"05-Aug-1990",858.78176,727.1,972.2,27.34
"06-Aug-1990",883.1105899999999,706.4167,899,27.34
"07-Aug-1990",1008.2883099999999,749.2,1176,27.55
"08-Aug-1990",1061.47985,838.6,491.7,26.58
"09-Aug-1990",1208.0042899999999,887,412.8,26.42
"10-Aug-1990",1669.77689,1013,899.1,27.42
"11-Aug-1990",1980.0523,806,863.1,27.21
"12-Aug-1990",1613.3119499999998,851,676.6,26.82
"13-Aug-1990",2034.06685,697.2235,488.8,26.52
"14-Aug-1990",2273.287,708.4,690.1,26.85
"15-Aug-1990",2080.92818,734.3841,971.8672,27.39
"16-Aug-1990",2033.8149599999997,459.1,773,27.14
"17-Aug-1990",2148.83648,960.147,1058,27.46
"18-Aug-1990",3855.1655500000006,1127,14010,35.47
"19-Aug-1990",3712.9200999999994,814.8,14760.47,35.75
"20-Aug-1990",3868.5300899999997,909.2209,13475.28,35.27
"21-Aug-1990",4220.704,878.3,11046.74,34.29
"22-Aug-1990",4599.318,788.1,15091.68,35.87
"23-Aug-1990",4911.14956,900,13870.09,35.42
"24-Aug-1990",4971.96948,843.2,15539.5,36.03
"25-Aug-1990",4386.27756,673.5,12402.51,34.85
"26-Aug-1990",4362.342,670.7,13371.03,35.23
"27-Aug-1990",3749.02575,630.332,11140.77,34.33
"28-Aug-1990",3463.56999,598.6,8711.133,33.23
"29-Aug-1990",3877.5821000000005,1097,10400.6,34.01
"30-Aug-1990",3080.9406599999998,915.1,9907.666,33.79
"31-Aug-1990",3000.58022,1350,8690.518,33.22
"01-Sep-1990",2456.052,1200,5614.92,31.55
"02-Sep-1990",2146.18229,1022,3766.157,30.29
"03-Sep-1990",1953.76658,883.0148,1662.551,28.33
"04-Sep-1990",1860.85056,688.0949,1189,27.82
"05-Sep-1990",1800.01084,627.7,1003,27.55
"06-Sep-1990",1759.69876,839.3,1546.974,28.19
"07-Sep-1990",1611.5948799999996,1020,3118.076,29.77
"08-Sep-1990",1524.01341,1023,3925.149,30.41
"09-Sep-1990",1359.56392,960.2,3298.238,29.92
"10-Sep-1990",1427.8380900000002,1046.447,4281.866,30.67
"11-Sep-1990",1865.3755,1208,5517.807,31.49
"12-Sep-1990",1885.2853,1156,5154.022,31.26
"13-Sep-1990",1783.50915,1425,2807.536,29.5
"14-Sep-1990",1481.02564,1050,1514.779,28.15
"15-Sep-1990",1732.36523,825,1443.677,28.06
"16-Sep-1990",1718.1374499999997,817,1382.025,27.98
"17-Sep-1990",1890.4027700000001,821.7977,1234.24,27.78
"18-Sep-1990",2302.7005200000003,818.6,1286,27.91
"19-Sep-1990",2321.3541299999997,834.2,1490.872,28.12
"20-Sep-1990",2613.3669,483.5,1475.048,28.1
"21-Sep-1990",2963.78294,749.8,1281,27.86
"22-Sep-1990",2901.01825,738.4,1196,27.76
"23-Sep-1990",2871.7139700000002,600.9,1149.896,27.66
"24-Sep-1990",3327.77528,600.3528,1019,27.65
"25-Sep-1990",3476.11,708.1,842.3,27.31
"26-Sep-1990",3574.6701000000003,1122,815.7,27.28
"27-Sep-1990",3913.1088,4687,901.1,27.25
"28-Sep-1990",3712.62811,6262,965.6,27.46
"29-Sep-1990",4044.55126,11898,827.1268,27.16
"30-Sep-1990",3548.8134,8506,580.6,26.89
"01-Oct-1990",3112.1324699999996,7550,482.2,26.55
"02-Oct-1990",3587.61926,11930,4033.119,30.49
"03-Oct-1990",2881.4493999999995,6757,2180.04,28.9
"04-Oct-1990",2231.95144,4139,2083.758,28.8
"05-Oct-1990",1734.93559,1900,1654.146,28.32
"06-Oct-1990",2845.85716,2984,2349.134,29.07
"07-Oct-1990",2279.84947,3110,1907.287,28.61
"08-Oct-1990",1608.41111,2250,1101,27.7
"09-Oct-1990",1411.11633,2133.342,988.1,27.45
"10-Oct-1990",1352.3283099999999,1206.346,1345,28
"11-Oct-1990",1242.9413399999999,1357,1871.211,28.57
"12-Oct-1990",1039.0118499999999,1166,1765.212,28.45
"13-Oct-1990",879.51994,1225,1435.89,28.05
"14-Oct-1990",924.6125900000002,985.8,1459.318,28.08
"15-Oct-1990",949.3540399999999,867.4894,1662.551,28.33
"16-Oct-1990",1016.28721,729.6,3384.192,29.99
"17-Oct-1990",1119.4372,678.7,4984.777,31.15
"18-Oct-1990",991.67345,625.9,3509.06,30.09
"19-Oct-1990",876.39179,688.2,2170.305,28.89
"20-Oct-1990",978.00739,682.7,1514.779,28.15
"21-Oct-1990",801.6545600000001,984.8,1382.025,27.98
"22-Oct-1990",678.95373,821.7977,1023,27.63
"23-Oct-1990",647.29117,942.5,796.6,27.09
"24-Oct-1990",645.63765,1086,454.9,26.59
"25-Oct-1990",667.72396,1006,924.8,27.28
"26-Oct-1990",703.2640899999999,1095,1224,27.84
"27-Oct-1990",703.3659,987.7,950.9,27.34
"28-Oct-1990",704.8568100000001,788.3,916.1091,27.3
"29-Oct-1990",702.12528,600.3528,640.8,26.89
"30-Oct-1990",639.1508100000001,421.4,549.8,26.49
"31-Oct-1990",627.28259,499.1,833.9,26.96
"01-Nov-1990",665.5195400000001,378.4,1782.647,28.47
"02-Nov-1990",618.56372,759.2,1687.904,28.36
"03-Nov-1990",646.15941,607.3,1907.287,28.61
"04-Nov-1990",613.6422100000001,572.5,1604.199,28.26
"05-Nov-1990",719.94124,503.4934,734.4,26.87
"06-Nov-1990",613.36893,678,611,26.58
"07-Nov-1990",536.45348,383.6,576.3,26.61
"08-Nov-1990",522.04835,492.6,625.7,26.75
"09-Nov-1990",489.55800999999997,316.7,975.5,27.48
"10-Nov-1990",480.9187,392.4,748.4957,27.01
"11-Nov-1990",447.05551999999994,269.9,694.9249,26.91
"12-Nov-1990",430.78857,422.6912,518.4,26.5
"13-Nov-1990",441.38494000000003,480.7034,449.6,26.28
"14-Nov-1990",606.4063399999999,405.3819,352.9,26.16
"15-Nov-1990",490.8156200000001,297.1,355.4,26.09
"16-Nov-1990",472.32282,464,543.1,26.49
"17-Nov-1990",468.53763999999995,426,741.2,26.94
"18-Nov-1990",491.01393999999993,491.9,726.8092,26.97
"19-Nov-1990",410.78051,388.4601,480.2,26.35
"20-Nov-1990",394.64212000000003,303.1,610,26.57
"21-Nov-1990",398.05346,484.462,541.1,26.59
"22-Nov-1990",359.41441000000003,450,523.7,26.41
"23-Nov-1990",371.2666999999999,269.4,610.6,26.67
"24-Nov-1990",370.51405,388.2,573.9,26.66
"25-Nov-1990",381.29146000000003,465.4,556.2973,26.63
"26-Nov-1990",361.96105,530.8005,531.8,26.47
"27-Nov-1990",371.43721,507.347,531.2,26.47
"28-Nov-1990",340.65605000000005,487,449.7,26.31
"29-Nov-1990",311.20487,477.4,334.2,26.08
"30-Nov-1990",301.89743999999996,467.4,329.6,26.05
"01-Dec-1990",326.02784999999994,468.4,457.4,26.33
"02-Dec-1990",318.03568,419.1,471.6552,26.44
"03-Dec-1990",296.84327,386.5327,329.7,26.05
"04-Dec-1990",314.75158999999996,423.3,454.6,26.32
"05-Dec-1990",337.81285,657.8,485,26.38
"06-Dec-1990",306.29657,528.2,433.7,26.25
"07-Dec-1990",308.2706800000001,623.2,351.1,26.11
"08-Dec-1990",311.00443000000007,585.7,430.128,26.34
"09-Dec-1990",317.85179000000005,506.6,406.202,26.28
"10-Dec-1990",314.73425,529.3448,296.4,26.03
"11-Dec-1990",325.88824999999997,403.1,439.7,26.32
"12-Dec-1990",345.06798000000003,502.9,530.2,26.52
"13-Dec-1990",320.243197,464.5,609.7,26.6
"14-Dec-1990",352.00512000000003,557,683.7,26.78
"15-Dec-1990",347.18204000000003,715.9,589.3,26.59
"16-Dec-1990",348.69829,797.7,519.7374,26.55
"17-Dec-1990",287.24031,638.1708,444.4,26.26
"18-Dec-1990",270.175936,507.6,381.8,26.29
"19-Dec-1990",297.435513,475,526.9,26.41
"20-Dec-1990",275.636593,376.8,546.1,26.43
"21-Dec-1990",272.462325,340.3,522.6,26.43
"22-Dec-1990",274.76950999999997,344.7,467.4,26.43
"23-Dec-1990",316.81480999999997,559.8,463.1836,26.42
"24-Dec-1990",299.20786,436.9188,438.2674,26.36
"25-Dec-1990",272.24251999999996,283.1292,463.1836,26.42
"26-Dec-1990",275.65184,336.1046,480.2098,26.46
"27-Dec-1990",284.99501,272.3,463.1836,26.42
"28-Dec-1990",290.03905999999995,133.4554,524.8,26.5
"29-Dec-1990",281.39906,229.6001,548.3,26.54
"30-Dec-1990",290.15205,244.6419,537.8497,26.59
"31-Dec-1990",350.30938,382.5015,714,26.78
"01-Jan-1991",286.24423,223.7442,469.5,26.41
"02-Jan-1991",257.91107999999997,317.834,391.7,26.41
"03-Jan-1991",280.41508000000005,398.7801,479.7,26.4
"04-Jan-1991",276.36278999999996,339.833,409.4,26.25
"05-Jan-1991",287.77777000000003,378.4958,427.8,26.33
"06-Jan-1991",268.87293,300.1782,501.9603,26.51
"07-Jan-1991",265.58725000000004,257.0934,540.3,26.53
"08-Jan-1991",260.83596,180.1418,538.8,26.51
"09-Jan-1991",281.81332,117.1039,665.2,26.67
"10-Jan-1991",316.61935,539.1822,657.2,26.65
"11-Jan-1991",285.26258,432.5767,459.8,26.45
"12-Jan-1991",277.44527,307.1675,493.1981,26.49
"13-Jan-1991",289.33697,325.0681,467.4098,26.43
"14-Jan-1991",277.97255,378.4958,458.9798,26.41
"15-Jan-1991",240.13182999999998,328.7221,448.8,26.43
"16-Jan-1991",208.36186,185.2811,384.1,26.22
"17-Jan-1991",233.86956999999995,273.1876,394.4,26.21
"18-Jan-1991",275.70366,347.3647,714.5,26.79
"19-Jan-1991",287.33061000000004,398.7801,628.4875,26.78
"20-Jan-1991",256.269335,370.5617,565.6479,26.65
"21-Jan-1991",244.886853,279.7914,384,26.29
"22-Jan-1991",268.318711,455.5,395.3,26.31
"23-Jan-1991",316.54312,364.4,443.2,26.43
"24-Jan-1991",331.41027999999994,560.2,557.8,26.58
"25-Jan-1991",346.72476,592.9,702,26.72
"26-Jan-1991",316.45294000000007,477.1848,565.6479,26.65
"27-Jan-1991",271.20840999999996,345.8,501.9603,26.51
"28-Jan-1991",259.90783,203.9646,459.2,26.34
"29-Jan-1991",312.51993999999996,370.6,455.9,26.34
"30-Jan-1991",341.91669,499.4,535.2,26.57
"31-Jan-1991",325.56907,352.8,801.3,26.9
"01-Feb-1991",333.52843,414.9,844.3,27.01
"02-Feb-1991",293.39835500000004,448.5,630.3,26.67
"03-Feb-1991",321.06548999999995,409.3,732.1987,26.98
"04-Feb-1991",359.19251999999994,303.6607,1013,27.53
"05-Feb-1991",314.84216,249.8,828.9,27.13
"06-Feb-1991",310.69030000000004,292.9,706.7,26.99
"07-Feb-1991",269.42163999999997,379.9,441.2,26.59
"08-Feb-1991",256.28761,369.1,442,26.43
"09-Feb-1991",255.86479000000003,275.1,519.7374,26.55
"10-Feb-1991",313.06619,354.9,565.6479,26.65
"11-Feb-1991",299.22204200000004,360.7861,601.2,26.77
"12-Feb-1991",336.22614999999996,394.3,635.9,26.96
"13-Feb-1991",303.36761,369.9,729.4,26.98
"14-Feb-1991",284.32541000000003,389.7,568.5,26.75
"15-Feb-1991",266.21682,372.5,519.9,26.52
"16-Feb-1991",283.983432,401.7,683.8,26.88
"17-Feb-1991",298.85359000000005,412.7,710.7698,26.94
"18-Feb-1991",317.56737,407.0737,695.4,26.92
"19-Feb-1991",338.87401000000006,347.6,840.6,27.09
"20-Feb-1991",351.10409999999996,347.9,845.9,27.1
"21-Feb-1991",332.91693999999995,380.2,705,26.95
"22-Feb-1991",333.80589000000003,489.9,639.4,26.83
"23-Feb-1991",337.41962899999993,638.5,700.5,26.99
"24-Feb-1991",320.86811,378.9,710.7698,26.94
"25-Feb-1991",302.819191,374.5164,679,26.93
"26-Feb-1991",319.3931,333.2,738.5,26.99
"27-Feb-1991",315.01977999999997,236.1,619.6,26.94
"28-Feb-1991",325.65772,219.1,649.3,27.01
"01-Mar-1991",329.83662000000004,290.1,698,26.96
"02-Mar-1991",293.04008,268.7,472.9,26.57
"03-Mar-1991",331.18131,283.5,603.8947,26.73
"04-Mar-1991",346.53936000000004,289.876,684.4683,26.89
"05-Mar-1991",323.42124,288.7,764.2,26.94
"06-Mar-1991",313.78431,349.4,584.602,26.69
"07-Mar-1991",313.21804,336.6,617.8,26.93
"08-Mar-1991",340.54515,338.9,722.5,27.13
"09-Mar-1991",340.27177099999994,358.7,681.6,26.97
"10-Mar-1991",365.52019999999993,308.9,633.4701,26.79
"11-Mar-1991",366.326445,332.4009,626.5,26.73
"12-Mar-1991",365.84373,355.1,683.9,26.81
"13-Mar-1991",362.0098499999999,345.2,584.8,26.75
"14-Mar-1991",388.85663,400.3,547.8,26.69
"15-Mar-1991",374.82528999999994,375.9,614.8,26.78
"16-Mar-1991",346.68986,361.8,472.9,26.55
"17-Mar-1991",398.83735,295.5,850.3742,27.19
"18-Mar-1991",397.17955,353.0788,763.9,27.08
"19-Mar-1991",389.79395999999997,393.1,739.9,26.93
"20-Mar-1991",392.51212999999996,385.2,730,27.05
"21-Mar-1991",366.75891,341.9,667,26.97
"22-Mar-1991",364.600631,383.7,715.2,26.89
"23-Mar-1991",336.34973499999995,395.1,686.1,26.83
"24-Mar-1991",337.33138,355.8,603.8947,26.73
"25-Mar-1991",361.25115999999997,351.1674,802.1,27.12
"26-Mar-1991",336.69879,347.5,695.7,26.99
"27-Mar-1991",357.66788,351.1674,614.4,26.89
"28-Mar-1991",336.90015999999997,330.6,716.0947,26.95
"29-Mar-1991",292.51226999999994,257.3,663.8122,26.85
"30-Mar-1991",308.90700000000004,131.9,821.3691,27.14
"31-Mar-1991",306.55956499999996,256.5,663.8122,26.85
"01-Apr-1991",320.72889000000004,296.7199,734.2,27.07
"02-Apr-1991",339.79654000000005,294.3,716.0947,26.95
"03-Apr-1991",341.70343999999994,202.3,804.2266,27.11
"04-Apr-1991",319.80485,283.1292,579.8322,26.68
"05-Apr-1991",344.96409100000005,279.5,638.4739,26.8
"06-Apr-1991",358.04348999999996,292.6,613.6685,26.75
"07-Apr-1991",339.43850999999995,283.1292,623.5263,26.77
"08-Apr-1991",326.20957999999996,286.4903,615.3,26.8
"09-Apr-1991",315.546578,165.6,623.5263,26.77
"10-Apr-1991",330.77466,147.3,603.8947,26.73
"11-Apr-1991",307.19696,265.7,554.3,26.7
"12-Apr-1991",298.50421000000006,275.8,618.5863,26.76
"13-Apr-1991",321.90266,209.5027,792.9078,27.09
"14-Apr-1991",321.76358,336.1046,770.5286,27.05
"15-Apr-1991",295.74935999999997,257.0934,679.2,26.79
"16-Apr-1991",276.04363,262,429.5,26.56
"17-Apr-1991",308.06309,261.8,537.8497,26.59
"18-Apr-1991",301.020718,289.6,444.6,26.42
"19-Apr-1991",261.027891,265.6,430.127,26.34
"20-Apr-1991",268.46413600000005,388.5,416.081,26.31
"21-Apr-1991",259.95702000000006,329.9,537.8497,26.59
"22-Apr-1991",233.97501499999998,321.4387,486.9,26.59
"23-Apr-1991",242.33732,388.4,346,26.29
"24-Apr-1991",240.876689,417.7,290.5,26.1
"25-Apr-1991",236.72784,302.4,329.8,26.07
"26-Apr-1991",213.72768399999998,255.4,326.9,26.04
"27-Apr-1991",235.32789999999997,268.2975,349.5,26.01
"28-Apr-1991",213.25835,266.6789,281.2523,25.93
"29-Apr-1991",205.03527,269.9214,271.6,25.9
"30-Apr-1991",221.67552,270,265.4,25.9
"01-May-1991",223.15079000000003,201.5,260.6,25.87
"02-May-1991",200.45396000000002,166,220.3,25.81
"03-May-1991",150.196179,154.7,113.6,25.35
"04-May-1991",221.25949,319.2,137.2,25.44
"05-May-1991",231.77185,283.9,153.9932,25.47
