,discharge
2005-01-01,0.0006203216616995633
2005-01-02,0.0029452355620328227
2005-01-03,0.024656352209712705
2005-01-04,0.034625438580384915
2005-01-05,0.036189933811260795
2005-01-06,0.31420790557380307
2005-01-07,0.8929231612273728
2005-01-08,0.9086104176322823
2005-01-09,0.9080778744448617
2005-01-10,0.907270678027051
2005-01-11,0.9060588997184469
2005-01-12,0.9088868359391905
2005-01-13,0.927564867082333
2005-01-14,0.9515820914172705
2005-01-15,0.9811567796371622
2005-01-16,1.0106588437713775
2005-01-17,1.041833439058855
2005-01-18,1.0691061676846492
2005-01-19,1.0875727357737353
2005-01-20,1.1048331662110635
2005-01-21,1.1322500167227838
2005-01-22,1.1767777050342236
2005-01-23,1.2394337499130534
2005-01-24,1.3126469055252143
2005-01-25,1.345645175016722
2005-01-26,1.376238499936787
2005-01-27,1.483390186385765
2005-01-28,3.8131080367863106
2005-01-29,4.665304222636995
2005-01-30,4.717922522343474
2005-01-31,5.2159920767274475
2005-02-01,5.5176351194744395
2005-02-02,5.706781944684354
2005-02-03,5.932670619894705
2005-02-04,6.341462795609298
2005-02-05,6.660279269284199
2005-02-06,6.5867749950967385
2005-02-07,6.6793916944101435
2005-02-08,6.555066678346645
2005-02-09,6.532157938177619
2005-02-10,6.191674404673559
2005-02-11,6.573504796656687
2005-02-12,6.937710631660635
2005-02-13,7.450432400115335
2005-02-14,7.404417778195889
2005-02-15,7.565815807617611
2005-02-16,7.628989100567915
2005-02-17,7.220913900817035
2005-02-18,6.979795252447667
2005-02-19,7.1067855866110605
2005-02-20,7.5183619185033805
2005-02-21,7.709258282773171
2005-02-22,7.329245492036673
2005-02-23,7.429460795333683
2005-02-24,7.566543443589487
2005-02-25,7.619382092180821
2005-02-26,7.383589903220328
2005-02-27,7.379224466637758
2005-02-28,8.251740637238663
2005-03-01,8.274842133906084
2005-03-02,7.291815582693643
2005-03-03,4.015052639770699
2005-03-04,3.1717987568197263
2005-03-05,5.442224955492343
2005-03-06,7.18632917960889
2005-03-07,5.985373692027247
2005-03-08,6.199485135678747
2005-03-09,5.175178401943348
2005-03-10,6.012688403697356
2005-03-11,5.64807534784109
2005-03-12,5.328263193581008
2005-03-13,5.3203946295176
2005-03-14,4.721312800966469
2005-03-15,4.9539259034666285
2005-03-16,5.475404762962115
2005-03-17,5.29271387695821
2005-03-18,4.973627346355189
2005-03-19,7.175068634395709
2005-03-20,6.645519496510464
2005-03-21,6.063336008624406
2005-03-22,5.480253523148924
2005-03-23,5.559221525152158
2005-03-24,5.088886043606356
2005-03-25,5.9025235504247755
2005-03-26,7.198267043251774
2005-03-27,8.281150100345082
2005-03-28,8.910841590942116
2005-03-29,9.932431627998383
2005-03-30,9.433632505926763
2005-03-31,10.849558638285394
2005-04-01,11.550557631709582
2005-04-02,12.195619226899368
2005-04-03,12.720713373207598
2005-04-04,11.97101120857996
2005-04-05,11.776369157673983
2005-04-06,10.406517882927046
2005-04-07,10.244695751841139
2005-04-08,10.939455485978922
2005-04-09,11.426166807765712
2005-04-10,11.210504172639471
2005-04-11,10.90515125438661
2005-04-12,10.859955741289214
2005-04-13,11.237544099826104
